# Plan de cuentas de CADINC exportado de Finnegans (lo mandó el estudio contable, 24/09/2026).
# Códigos convertidos a formato con puntos: 1110101 -> 1.1.1.01.01 (segmentos 1-1-1-2-2). La 4 «RESULTADO DEL PERIODO» es rubro resultado (título).
codigo;nombre;rubro;imputable;auxiliar
4.1.1.01.04;DECRETO 814;ingreso;SI;
4.1.1.02;RESULTADO POR VALUACIÓN DE BIENES DE CAMBIO A VNR;ingreso;NO;
4.1.1.02.01;Ganancia por valuación de Bs. de Cbio. a V.N.R.;ingreso;SI;
4.1.1.03;RESULTADOS FINANCIEROS Y POR TENENCIA;ingreso;NO;
4.1.1.03.01;Intereses Ganados;ingreso;SI;
4.1.1.03.02;Diferencia de cambio positiva;ingreso;SI;
4.1.1.04;OTROS INGRESOS ORDINARIOS;ingreso;SI;
4.1.2;INGRESOS EXTRAORDINARIOS;ingreso;NO;
4.1.2.01;Utilidad Venta Bienes de Uso;ingreso;SI;
4.1.2.02;Reinitegro gastos;ingreso;SI;
4.1.2.03;Ingreso por ley 27.743 reg.;ingreso;SI;
4.2;GASTOS;egreso;NO;
4.2.1;GASTOS ORDINARIOS;egreso;NO;
4.2.1.01;COSTO DE VENTAS;egreso;NO;
4.2.1.01.01;Costo de Ventas;egreso;SI;
4.2.1.02;GASTOS DE CONSTRUCCION;egreso;NO;
4.2.1.02.01;Sueldos y Jornales Construcción;egreso;SI;
4.2.1.02.02;Cargas sociales Construcción;egreso;SI;
4.2.1.02.03;Energía Construcción;egreso;SI;
4.2.1.02.04;Honorarios Ingenieros;egreso;SI;
4.2.1.02.05;Ropa de trabajo;egreso;SI;
4.2.1.02.06;Premios a la producción;egreso;SI;
4.2.1.02.07;Despidos;egreso;SI;
4.2.1.02.08;Comida del personal;egreso;SI;
4.2.1.02.09;Cuota medica a cargo empleador;egreso;SI;
4.2.1.02.10;Amortizaciones maquinarias y equipos;egreso;SI;
4.2.1.02.11;Trabajos de terceros;egreso;SI;
4.2.1.02.20;Reparaciones;egreso;SI;
4.2.1.02.21;Gastos de limpieza;egreso;SI;
4.2.1.02.22;Mantenimiento equipos;egreso;SI;
4.2.1.02.23;Combustibles y Lubricantes;egreso;SI;
4.2.1.02.25;servicios diversos;egreso;SI;
4.2.1.02.26;Fletes;egreso;SI;
4.2.1.02.28;Alquiler de equipos;egreso;SI;
4.2.1.02.29;Alquiler de estructuras;egreso;SI;
4.2.1.02.30;Costos de incumplimiento de entrega;egreso;SI;
4.2.1.02.31;Internet y telefonia;egreso;SI;
4.2.1.02.32;Gastos en Planos y aprobaciones;egreso;SI;
4.2.1.02.34;alarma y monitoreo;egreso;SI;
4.2.1.02.35;Accidentes;egreso;SI;
4.2.1.03;GASTOS DE ADMINISTRACION;egreso;NO;
4.2.1.03.01;Sueldos y Jornales Administración;egreso;SI;
4.2.1.03.02;Cargas Sociales Administración;egreso;SI;
4.2.1.03.03;Despidos Administración;egreso;SI;
4.2.1.03.04;Honorarios Profesionales;egreso;SI;
4.2.1.03.05;Amortizaciones Administración;egreso;SI;
4.2.1.03.06;Viáticos Administración;egreso;SI;
4.2.1.03.07;Librería y Papelería;egreso;SI;
4.2.1.03.10;Gastos Varios administración;egreso;SI;
4.2.1.03.11;Insumos computacion;egreso;SI;
4.2.1.03.12;Correspondencia;egreso;SI;
4.2.1.03.15;Mantenimiento rodados;egreso;SI;
4.2.1.03.16;Energía Administración;egreso;SI;
4.2.1.03.17;Seguros;egreso;SI;
4.2.1.03.18;Ieric;egreso;SI;
4.2.1.03.19;Patentes;egreso;SI;
4.2.1.04;GASTOS DE COMERCIALIZACION;egreso;NO;
4.2.1.04.01;Sueldos y Jornales Comercialización;egreso;SI;
4.2.1.04.02;Cargas Sociales comercialización;egreso;SI;
4.2.1.04.03;Publicidad;egreso;SI;
4.2.1.04.04;Amortizaciones Comercialización;egreso;SI;
4.2.1.04.05;Seguros comercialización;egreso;SI;
4.2.1.04.06;Honorarios Director;egreso;SI;
4.2.1.04.07;Gastos Varios comercialización;egreso;SI;
4.2.1.04.11;Cese laboral;egreso;SI;
4.2.1.04.12;Descuentos otorgados a clientes;egreso;SI;
4.2.1.04.14;Comisiones de terceros;egreso;SI;
4.2.1.04.16;Quebrantos por deudores incobrables;egreso;SI;
4.2.1.04.17;Sindicato de choferes nacional;egreso;SI;
4.2.1.04.19;Sindicto choferes tucuman;egreso;SI;
4.2.1.05;GASTOS FINANCIEROS;egreso;NO;
4.2.1.05.01;Intereses y Gastos bancarios;egreso;SI;
4.2.1.05.02;Intereses de Proveedores;egreso;SI;
4.2.1.05.03;Intereses y recargos impositivos;egreso;SI;
4.2.1.05.04;Dif. de cambio negativas;egreso;SI;
4.2.1.05.05;Dif. de cambio negativas generadas por Activos;egreso;SI;
4.2.1.05.06;Diferencia tipo cambio Vendedor/Comprador;egreso;SI;
4.2.1.05.07;Diferencia por conversion en Bce. en Mon. Extranj.;egreso;SI;
4.2.1.05.08;Amortizaciones Inversiones en Bienes depreciables;egreso;SI;
4.2.1.05.10;R.E.C.P.A.M.;egreso;SI;
4.2.1.05.11;Sindicato Uocra;egreso;SI;
4.2.1.06;RESULTADO POR VALUACIÓN DE BIENES DE CAMBIO A VNR;egreso;NO;
4.2.1.06.01;Pérdida por valuación de Bs. de Cbio. a VNR;egreso;SI;
4.2.1.07;IMPUESTOS;egreso;NO;
4.2.1.07.01;Impuesto a las Ganancias;egreso;SI;
4.2.1.07.02;Impuesto Ganancia mínima presunta;egreso;SI;
4.2.1.07.03;Impuesto a los Ingresos Brutos;egreso;SI;
4.2.1.07.04;TEM;egreso;SI;
4.2.1.07.05;Impuesto a la Salud Publica;egreso;SI;
4.2.1.07.06;Impuesto s/ los Débitos y Créditos Bancarios;egreso;SI;
4.2.1.07.07;Impuestos internos y varios;egreso;SI;
4.2.1.07.08;Tasas y sellados;egreso;SI;
4.2.1.07.09;Impuestos a los ingresos brutos Buenos Aires;egreso;SI;
4.2.1.07.10;Impuestos a los ingresos brutos Cordoba;egreso;SI;
4.2.1.07.11;Impuestos a los ingresos brutos Entre Rios;egreso;SI;
4.2.1.07.12;Impuestos a los ingresos brutos La Pampa;egreso;SI;
4.2.1.07.13;Impuestos a los ingresos brutos Mendoza;egreso;SI;
4.2.1.07.14;Impuestos a los ingresos brutos Rio Negro;egreso;SI;
4.2.1.07.15;IDC;egreso;SI;
4.2.1.07.16;Itc no computable;egreso;SI;
4.2.1.07.17;Bienes personales;egreso;SI;
4.2.2;GASTOS EXTRAORDINARIOS;egreso;NO;
4.2.2.01;Pérdida por venta bienes de uso;egreso;SI;
4.2.2.03;Amortizaciones extraordinarias;egreso;SI;
4.2.2.05;Impuesto especial por regular.activos ley 27.743;egreso;SI;
4.2.2.06;Ajuste de Amortizaciones acumul. de Bienes;egreso;SI;
